evidence_id,fact,source,source_type,date,metric_scope,verification,freshness,impact,conclusion_eligible,used_in
EV-2026-0001,"理想汽车证券代码为 Nasdaq: LI、HKEX: 2015。","https://ir.lixiang.com/news-releases/news-release-details/li-auto-inc-report-first-quarter-2026-financial-results-may-28","公司IR公告","2026-05-12","证券代码；公司公告口径；访问日期2026-05-17","已核实","最新","中性","是","一页纸;面板;决策框架"
EV-2026-0002,"理想汽车将于2026-05-28美股盘前发布2026年一季度未经审计财务业绩，并于同日8:00 AM ET举行电话会。","https://ir.lixiang.com/news-releases/news-release-details/li-auto-inc-report-first-quarter-2026-financial-results-may-28","公司IR公告","2026-05-12","事件日期；美东时间；访问日期2026-05-17","已核实","最新","中性","是","一页纸;面板;决策框架"
EV-2026-0003,"2025年全年交付406,343辆，2025年四季度交付109,194辆；2024年全年交付500,508辆。","https://ir.lixiang.com/news-releases/news-release-details/li-auto-inc-announces-unaudited-fourth-quarter-and-full-year-4/","公司IR财报公告","2026-03-12","车辆交付；截至2025-12-31；访问日期2026-05-17","已核实","有效","反对","是","一页纸;面板;决策框架"
EV-2026-0004,"2025年全年收入1123.125亿元人民币，同比下降22.3%；2025年四季度收入287.754亿元人民币，同比下降35.0%。","https://ir.lixiang.com/news-releases/news-release-details/li-auto-inc-announces-unaudited-fourth-quarter-and-full-year-4/","公司IR财报公告","2026-03-12","未经审计；人民币；截至2025-12-31；访问日期2026-05-17","已核实","有效","反对","是","一页纸;面板;决策框架"
EV-2026-0005,"2025年全年毛利率18.7%、车辆毛利率17.9%；2025年四季度毛利率17.8%、车辆毛利率16.8%。","https://ir.lixiang.com/news-releases/news-release-details/li-auto-inc-announces-unaudited-fourth-quarter-and-full-year-4/","公司IR财报公告","2026-03-12","未经审计；毛利率/车辆毛利率；访问日期2026-05-17","已核实","有效","中性","是","一页纸;面板;决策框架"
EV-2026-0006,"2025年全年净利润11.394亿元人民币，同比下降85.8%；2025年全年自由现金流为-128.169亿元人民币。","https://ir.lixiang.com/news-releases/news-release-details/li-auto-inc-announces-unaudited-fourth-quarter-and-full-year-4/","公司IR财报公告","2026-03-12","未经审计；人民币；Non-GAAP FCF；访问日期2026-05-17","已核实","有效","反对","是","一页纸;面板;决策框架"
EV-2026-0007,"截至2025-12-31，理想汽车现金头寸为1012亿元人民币。","https://ir.lixiang.com/news-releases/news-release-details/li-auto-inc-announces-unaudited-fourth-quarter-and-full-year-4/","公司IR财报公告","2026-03-12","现金及现金等价物、受限现金、定期存款和短期投资合计口径；访问日期2026-05-17","已核实","有效","支持","是","一页纸;面板;决策框架"
EV-2026-0008,"公司对2026年一季度指引为交付85,000-90,000辆、收入204-216亿元人民币。","https://ir.lixiang.com/news-releases/news-release-details/li-auto-inc-announces-unaudited-fourth-quarter-and-full-year-4/","公司IR财报公告","2026-03-12","管理层指引；未经审计；访问日期2026-05-17","已核实","有效","中性","是","一页纸;面板;决策框架"
EV-2026-0009,"理想汽车2026年1月、2月、3月分别交付27,668辆、26,421辆、41,053辆，合计95,142辆，超过Q1指引上限。","https://ir.lixiang.com/news-releases/news-release-details/li-auto-inc-january-2026-delivery-update/; https://ir.lixiang.com/news-releases/news-release-details/li-auto-inc-february-2026-delivery-update/; https://ir.lixiang.com/news-releases/news-release-details/li-auto-inc-march-2026-delivery-update/","公司IR月度交付公告","2026-02-01;2026-03-01;2026-04-01","月度交付；车辆数；访问日期2026-05-17","已核实","最新","支持","是","一页纸;面板;决策框架"
EV-2026-0010,"理想汽车2026年4月交付34,085辆，截至2026-04-30累计交付1,669,442辆。","https://ir.lixiang.com/news-releases/news-release-details/li-auto-inc-april-2026-delivery-update","公司IR月度交付公告","2026-05-01","月度交付；车辆数；访问日期2026-05-17","已核实","最新","中性","是","一页纸;面板;决策框架"
EV-2026-0011,"截至2026-04-30，公司在中国拥有511家零售中心、550家服务中心及授权钣喷中心、4,077座超充站和22,509个充电桩。","https://ir.lixiang.com/news-releases/news-release-details/li-auto-inc-april-2026-delivery-update","公司IR月度交付公告","2026-05-01","渠道和补能网络；中国；访问日期2026-05-17","已核实","最新","支持","是","一页纸;面板;决策框架"
EV-2026-0012,"截至2026-05-15美股收盘，LI报18.51美元，市值约189.3亿美元；同日港股2015.HK报75.60港元。","https://stockanalysis.com/stocks/li/market-cap/; https://stockanalysis.com/quote/hkg/2015/history/","市场数据","2026-05-15","收盘价；美元/HKD；第三方行情；访问日期2026-05-17","已核实","最新","中性","是","一页纸;面板;决策框架"
EV-2026-0013,"理想汽车ADS每份代表2股A类普通股；ADS在Nasdaq以LI交易，A类普通股在港交所以2015交易。","https://www.sec.gov/Archives/edgar/data/0001791706/000110465926041705/li-20251231x20f.htm","SEC 20-F","2026-04-10","截至2025-12-31年报；证券结构；访问日期2026-05-17","已核实","有效","中性","是","一页纸;面板;决策框架"
EV-2026-0014,"2025年四季度经营现金流为35亿元人民币，自由现金流为25亿元人民币；2025年三季度经营现金流为-74亿元人民币，自由现金流为-89亿元人民币。","https://ir.lixiang.com/news-releases/news-release-details/li-auto-inc-announces-unaudited-fourth-quarter-and-full-year-4/","公司IR财报公告","2026-03-12","未经审计；人民币；经营现金流和Non-GAAP FCF；访问日期2026-05-17","已核实","有效","支持","是","财务质量;一页纸;面板;决策框架"
EV-2026-0015,"2025年四季度车辆销售收入环比增长主要来自交付增加，但被Li i6开始交付后的产品结构导致平均售价下降部分抵消。","https://ir.lixiang.com/news-releases/news-release-details/li-auto-inc-announces-unaudited-fourth-quarter-and-full-year-4/","公司IR财报公告","2026-03-12","未经审计；车辆销售收入解释；访问日期2026-05-17","已核实","有效","反对","是","财务质量;红队;面板"
XPEV-2026-0001,"小鹏汽车证券代码为 NYSE: XPEV、HKEX: 9868；每份ADS代表2股A类普通股。","https://ir.xiaopeng.com/zh-hant/news-releases/news-release-details/xpeng-reports-fourth-quarter-and-fiscal-year-2025-unaudited","公司IR财报公告","2026-03-20","证券结构；访问日期2026-05-17","已核实","有效","中性","是","XPEV底稿;对比;面板"
XPEV-2026-0002,"小鹏将于2026-05-28美股盘前发布2026年一季度未经审计财务业绩，并于7:00 AM ET举行电话会。","https://ir.xiaopeng.com/news-releases/news-release-details/xpeng-report-first-quarter-2026-financial-results-thursday-may","公司IR公告","2026-05-13","事件日期；美东时间；访问日期2026-05-17","已核实","最新","中性","是","XPEV底稿;对比;面板"
XPEV-2026-0003,"2025全年交付429,445辆，同比增长125.9%；2025年四季度交付116,249辆。","https://ir.xiaopeng.com/zh-hant/news-releases/news-release-details/xpeng-reports-fourth-quarter-and-fiscal-year-2025-unaudited","公司IR财报公告","2026-03-20","车辆交付；访问日期2026-05-17","已核实","有效","支持","是","XPEV底稿;对比;面板"
XPEV-2026-0004,"2025全年收入767.2亿元人民币，同比增长87.7%；2025年四季度收入222.5亿元人民币，同比增长38.2%。","https://ir.xiaopeng.com/zh-hant/news-releases/news-release-details/xpeng-reports-fourth-quarter-and-fiscal-year-2025-unaudited","公司IR财报公告","2026-03-20","未经审计；人民币；访问日期2026-05-17","已核实","有效","支持","是","XPEV底稿;财务质量;面板"
XPEV-2026-0005,"2025全年综合毛利率18.9%、车辆毛利率12.8%；2025年四季度综合毛利率21.3%、车辆毛利率13.0%。","https://ir.xiaopeng.com/zh-hant/news-releases/news-release-details/xpeng-reports-fourth-quarter-and-fiscal-year-2025-unaudited","公司IR财报公告","2026-03-20","毛利率/车辆毛利率；访问日期2026-05-17","已核实","有效","支持","是","XPEV底稿;财务质量;面板"
XPEV-2026-0006,"2025年四季度归母净利润3.8亿元人民币，为首次单季度净利润转正；2025全年净亏损11.4亿元人民币。","https://ir.xiaopeng.com/zh-hant/news-releases/news-release-details/xpeng-reports-fourth-quarter-and-fiscal-year-2025-unaudited","公司IR财报公告","2026-03-20","未经审计；人民币；访问日期2026-05-17","已核实","有效","支持","是","XPEV底稿;财务质量;面板"
XPEV-2026-0007,"截至2025-12-31，小鹏现金头寸为476.6亿元人民币。","https://ir.xiaopeng.com/zh-hant/news-releases/news-release-details/xpeng-reports-fourth-quarter-and-fiscal-year-2025-unaudited","公司IR财报公告","2026-03-20","公司定义现金头寸；访问日期2026-05-17","已核实","有效","支持","是","XPEV底稿;财务质量;面板"
XPEV-2026-0008,"小鹏对2026年一季度指引为交付61,000-66,000辆、收入122.0-132.8亿元人民币。","https://ir.xiaopeng.com/zh-hant/news-releases/news-release-details/xpeng-reports-fourth-quarter-and-fiscal-year-2025-unaudited","公司IR财报公告","2026-03-20","管理层指引；访问日期2026-05-17","已核实","有效","中性","是","XPEV底稿;对比;面板"
XPEV-2026-0009,"小鹏2026年一季度交付62,682辆，落在公司61,000-66,000辆指引区间内。","https://www.sec.gov/Archives/edgar/data/1810997/000119312526135938/d10967dex991.htm","SEC 6-K","2026-04-01","月度交付合计；访问日期2026-05-17","已核实","最新","中性","是","XPEV底稿;对比;面板"
XPEV-2026-0010,"小鹏2026年4月交付31,011辆，环比增长13%。","https://www.sec.gov/Archives/edgar/data/1810997/000119312526202397/d119120dex991.htm","SEC 6-K","2026-05-01","月度交付；访问日期2026-05-17","已核实","最新","支持","是","XPEV底稿;对比;面板"
XPEV-2026-0011,"小鹏于2026-03-02披露VLA 2.0架构和全球部署计划。","https://www.xpeng.com/pressroom/news/019cae5e67b99c0960ee8a028129016a","公司官方新闻稿","2026-03-02","技术发布；访问日期2026-05-17","已核实","有效","支持","是","AI机器人命题;面板"
XPEV-2026-0012,"XPENG AI Day 2025披露VLA 2.0、Robotaxi、Next-Gen IRON和飞行汽车；公司称IRON有望首先实现大规模量产。","https://www.xpeng.com/pressroom/news/019a56f54fe99a2a0a8d8a0282e402b7","公司官方新闻稿","2025-11-05","技术/产品发布；访问日期2026-05-17","已核实","有效","支持","是","AI机器人命题;红队;面板"
XPEV-2026-0013,"小鹏披露2026年4月VLA 2.0推出后门店试驾满意度提升。","https://www.sec.gov/Archives/edgar/data/1810997/000119312526202397/d119120dex991.htm","SEC 6-K","2026-05-01","运营表述；访问日期2026-05-17","已核实","最新","支持","是","AI机器人命题;面板"
